Z_PK,Z_ENT,Z_OPT,ZMAGFIELDACCURACY,ZGRAVITYX,ZGRAVITYY,ZGRAVITYZ,ZHEADING,ZMAGFIELDX,ZMAGFIELDY,ZMAGFIELDZ,ZQUATW,ZQUATX,ZQUATY,ZQUATZ,ZROTATIONRATEX,ZROTATIONRATEY,ZROTATIONRATEZ,ZTIMESTAMPEPOCH,ZUSERACCELX,ZUSERACCELY,ZUSERACCELZ,ZTIMESTAMPEST,time,gravity_original_x,gravity_original_y,gravity_original_z,user_original_x,user_original_y,user_original_z,interpolated_zcourse,vehicle_trajectory,vehicle_orthogonal,PLS_x,PLS_y
32,2,1,2,-0.00614818744361401,-0.276890754699707,-0.9608817100524899,70.9031448364258,-28.3872146606445,18.734468460083,-19.4531555175781,0.163808718323708,0.020069157704711002,-0.13840651512146,-0.976528286933899,0.00426401104778051,-0.250239729881287,-0.619776666164398,1560740673.9498599,0.00930679962038994,0.0397862792015076,-0.0340526103973389,"Sunday, June 16, 2019 at 11:04:33 PM Eastern Daylight Time",4,6.3586291822181895e-09,-1.9004656320875668e-08,-0.9999999754802056,0.006586694203628611,-0.04813703186669362,-0.021646857261047595,296.25169615440603,-0.040258768616457,-0.027199079524016415,-0.042842563195412915,-0.019219295914523687
33,2,1,2,0.19913911819458,0.00893639121204615,-0.979930460453033,75.0984191894531,-20.3575115203857,18.5326156616211,-17.7525024414062,0.128578647971153,0.0986534655094147,0.017385421320796002,-0.986626923084259,0.00190848205238581,0.00180892227217555,-0.0501961149275303,1560740674.9531,0.0117520838975906,-0.024576673284172998,0.0120348930358887,"Sunday, June 16, 2019 at 11:04:34 PM Eastern Daylight Time",4,1.2494959758264229e-08,3.764283124790824e-09,-0.9999999774034513,-0.01974361182206662,0.02008959790943198,0.009672685464501122,296.25169615440603,0.009284651639177965,0.02659318325966661,0.01683381678156692,-0.00783311444150784
34,2,1,2,0.214761808514595,-0.00215186458081007,-0.9766640663146969,79.3452224731445,-21.5627136230469,15.7201261520386,-20.1286010742187,0.0924184247851372,0.107645757496357,0.008963553234934809,-0.9898439645767209,0.0438776537775993,-0.0302691832184792,-0.0204628221690655,1560740675.9563801,0.0168347209692001,-0.00666770152747631,0.0058082342147827105,"Sunday, June 16, 2019 at 11:04:35 PM Eastern Daylight Time",4,-5.2817606643038896e-08,-9.434432946681115e-09,-0.9999999816739947,-0.018617924210514555,0.0032865104253796793,0.0020428915241673304,296.25169615440603,-0.005287451442512255,0.018151339067067982,0.002467137031788839,-0.013941359151679737
35,2,1,2,0.196779444813728,-0.00951737072318792,-0.980401575565338,81.0304183959961,-22.618850708007802,14.926563262939501,-19.84228515625,0.0782788023352623,0.098945140838623,0.00301069300621748,-0.992004752159119,0.00683457404375076,-0.006988320499658579,-0.0411551333963871,1560740676.9596698,0.00585553050041199,-0.0017587905749678599,0.0229886770248413,"Sunday, June 16, 2019 at 11:04:36 PM Eastern Daylight Time",4,-4.0945845789202694e-08,-4.376563275849954e-09,-0.9999999898088388,-0.010445342527752468,0.00033786934417114436,0.021369148716420885,296.25169615440603,-0.004317111972611086,0.009517451362194763,-0.0005459749066363687,-0.010096371968513169
36,2,1,2,0.20339758694171897,0.000172608342836611,-0.9790962338447571,81.0367050170898,-22.076072692871104,14.938850402832001,-19.8596496582031,0.0777206346392632,0.101915173232555,0.00807407312095165,-0.991719543933868,0.005498732440173629,0.0293858870863914,0.0021450778003782,1560740677.96291,-0.00231973826885223,-0.00168323330581188,-0.0120844841003418,"Sunday, June 16, 2019 at 11:04:37 PM Eastern Daylight Time",4,-9.169703858204203e-09,-1.4526948862586542e-09,-1.0000000216481704,0.004408898740885162,0.0024014246809028563,-0.01135975296226804,296.25169615440603,0.004103863745854362,-0.002891976998679339,0.0002934150689608726,-0.00010287361741964391
37,2,1,2,0.208783954381943,0.0141361923888326,-0.977859616279602,81.0500030517578,-21.9000816345215,14.725826263427699,-20.2835083007812,0.0768500864505768,0.104111447930336,0.0151986293494701,-0.9914755821228031,-0.0153298396617174,0.0106654372066259,0.0298978835344315,1560740678.96618,-0.00584504008293152,-0.00479801557958126,-0.000671565532684326,"Sunday, June 16, 2019 at 11:04:38 PM Eastern Daylight Time",4,3.3428788357228734e-09,9.620238425323002e-10,-1.000000000346553,0.005040008915749401,0.0056423391564825775,0.0006314794613130409,296.25169615440603,0.007289658886492826,-0.0020244886628939533,0.0030120735711535764,0.0015982215094951062
38,2,1,2,0.22065427899360698,0.005174869671463971,-0.975338339805603,80.6090545654297,-20.8027839660645,14.715971946716301,-20.5990600585937,0.0810656771063805,0.110431388020515,0.0116502642631531,-0.99050372838974,-0.0193145070225,-0.0254686437547207,-0.0346501693129539,1560740679.96945,0.00451540946960449,-0.0057548042386770205,-0.0124398469924927,"Sunday, June 16, 2019 at 11:04:39 PM Eastern Daylight Time",4,-2.8706451451272937e-08,-5.135567863329138e-09,-0.9999999836045269,-0.0025870014238177116,0.0054739166915874085,-0.013099623940672666,296.25169615440603,0.0037650652574466384,0.004741373632233847,0.003339313110948055,-0.00317226058411029
39,2,1,2,0.210424870252609,-0.0032458358909934803,-0.9776046276092529,81.4444808959961,-21.066234588623,14.230438232421902,-21.2599792480469,0.0743423327803612,0.10563240200281099,0.00628280080854893,-0.991602540016174,-0.000284395646303892,-0.0659193322062492,-0.0721018090844154,1560740680.9727302,-0.0317799001932144,-0.0221752300858498,0.0277292728424072,"Sunday, June 16, 2019 at 11:04:40 PM Eastern Daylight Time",4,-1.340825052641723e-08,-1.7700743995541224e-09,-0.9999999846972418,0.02163742137405384,0.025790662864375896,0.03372356984836343,295.53431594121474,0.0325984630193061,-0.008406931870854712,0.019131693210820935,0.01998756294810429
40,2,1,2,0.24659478664398202,-0.0132284229621291,-0.969028413295746,82.93687438964841,-21.1127243041992,12.2025861740112,-23.880920410156197,0.0619385577738285,0.124437071382999,0.0011039584642276198,-0.990291833877563,0.0261675268411636,0.0402425974607468,-0.060747180134058,1560740681.97605,-0.00883816182613373,-0.009689966216683391,-0.0137604475021362,"Sunday, June 16, 2019 at 11:04:41 PM Eastern Daylight Time",4,-2.0948284129500652e-08,-1.9124564978531544e-09,-1.000000022874263,0.010694754898812676,0.010939585346935834,-0.011283002937864916,205.3270745768886,-0.004986990481165979,-0.014463133680130696,0.007170470561972847,0.007229001474752431
41,2,1,2,0.257244318723679,-0.0277783554047346,-0.9659470915794369,75.1474990844727,-18.431619644165,16.3481712341309,-21.3366394042969,0.12992912530899,0.130448371171951,0.0031130998395383397,-0.9828997850418091,-0.14032639563083601,-0.027005122974515,0.612963676452637,1560740682.9793198,0.0698980391025543,-0.0282207448035479,0.0385780930519104,"Sunday, June 16, 2019 at 11:04:42 PM Eastern Daylight Time",4,-3.145722735520707e-09,-5.1471026746297e-10,-1.0000000301376868,-0.08225167172547983,0.007927356102413291,0.0184995971513024,107.38423259164519,0.017009747256883666,-0.08086314967070912,0.010341746057252483,-0.05129492334071849
42,2,1,2,0.31210345029830894,-0.036518108099699,-0.949346005916595,47.229061126709006,-5.14942359924316,25.327455520629897,-11.571990966796902,0.362673729658127,0.15380848944187198,0.0408648885786533,-0.9182270169258121,0.0320316888391972,-0.072560153901577,-0.0257653091102839,1560740683.98259,-0.00278466939926147,-0.00556476414203644,0.00119417905807495,"Sunday, June 16, 2019 at 11:04:43 PM Eastern Daylight Time",4,-1.4271244965294305e-08,-7.896967656184639e-09,-0.9999999874285408,-0.0021578186853218532,0.005679117868014314,0.0017995793966643918,196.40987164709998,0.00367430938714485,-0.0048381826924024695,0.03040565605859232,0.009328430785902703
43,2,1,2,0.256353169679642,-0.0052848584018647705,-0.9665687084198001,54.441013336181605,-8.83653831481934,23.2342681884766,-11.608795166015598,0.30311009287834195,0.12388904392719301,0.0369748435914516,-0.944144368171692,0.22152328491210896,-0.16341075301170302,-0.433321386575699,1560740684.98587,0.0296817421913147,-0.00661686807870865,-0.0274811983108521,"Sunday, June 16, 2019 at 11:04:44 PM Eastern Daylight Time",4,1.5920896130963702e-08,1.1066138561055539e-08,-0.9999999727147234,-0.021351469318581395,-0.007351112814403699,-0.03420644561498128,262.3680553721391,-0.004450324818923637,0.02213862485969906,0.01242034369698157,0.004847432454297633
44,2,1,2,0.286748200654984,-0.0340166091918945,-0.957401871681213,104.866317749023,-14.6989831924438,-0.34070968627929704,-32.096282958984396,-0.12553521990776098,0.141572654247284,-0.0354435928165913,-0.9812960624694821,-0.25072285532951394,-1.61145293712616,-1.7396727800369298,1560740685.98916,0.0805237889289856,0.0433558225631714,-0.28954744338989297,"Sunday, June 16, 2019 at 11:04:45 PM Eastern Daylight Time",4,-1.8021494316809716e-08,1.0553315575589917e-08,-1.0000000020892374,-0.00800091803203871,-0.05328268265223811,-0.2988284975487743,135.04584848451307,0.043308415174212314,0.03205370704103622,-0.004108474498232595,-0.042108032116805805
45,2,1,2,-0.00378777366131544,-0.00030147403595037796,-0.9999927878379821,133.53494262695298,-16.9340991973877,-13.8490352630615,-36.052734375,-0.37083235383033797,-0.0018147533992305398,0.000562327390071005,-0.9286978840827941,-0.328834682703018,0.3124098777771,1.0578925609588599,1560740686.99244,0.0251043941825628,0.112194180488586,0.37146800756454496,"Sunday, June 16, 2019 at 11:04:46 PM Eastern Daylight Time",4,-8.971928397698975e-12,9.105327819849962e-12,-1.0000000069219415,-0.09438010679758779,-0.0649335209748408,0.37159423930066193,277.70631569347256,-0.07700300205311816,0.08482042430995997,-0.060237393386625815,-0.0194900709787379
46,2,1,2,0.16763499379158,-0.0269088596105576,-0.9854817986488341,87.4099349975586,-16.6014308929443,-0.00143051147460937,-43.2003173828125,0.0236498471349478,0.0844202041625977,-0.0115029606968164,-0.99608314037323,-1.32291495800018,-0.0150112668052316,0.164342105388641,1560740687.99576,-0.0881410241127014,0.31964942812919606,-0.304969608783722,"Sunday, June 16, 2019 at 11:04:47 PM Eastern Daylight Time",4,-4.664771019490584e-09,4.729174222367627e-10,-0.9999999766685919,0.15268083090021056,-0.3206542362587133,-0.2771650843118896,323.15223627966503,-0.07011341850628913,-0.34815899227278246,-0.052321344202994544,-0.3473531938226154
47,2,1,2,0.0314171314239502,0.14415152370929699,-0.9890567660331729,81.0466690063477,-20.788522720336896,10.0563831329346,-44.159759521484396,0.0766933932900429,0.0101469224318862,0.0732710883021355,-0.994307100772858,-1.55222284793854,0.16255694627761802,0.37189882993698103,1560740688.9990199,0.314758211374283,0.17705756425857502,-0.509112477302551,"Sunday, June 16, 2019 at 11:04:48 PM Eastern Daylight Time",4,-1.4360707987354226e-09,-1.686448208859659e-08,-0.9999999921853101,-0.2791724948626927,-0.14563634517402868,-0.5389530594684,325.88419867678357,-0.31281116224420313,0.03600560649315372,-0.20976720886893904,-0.021888310335016665
48,2,1,2,0.0969355925917625,0.0234645083546638,-0.9950140118598941,85.2488708496094,-19.867397308349602,2.63102626800537,-48.122314453125,0.0408278629183769,0.0480075590312481,0.0137208681553602,-0.9979178905487059,-0.694534718990326,-0.5812307596206671,0.660836458206177,1560740690.0023198,-0.18942135572433497,-0.207669153809547,0.11021775007247901,"Sunday, June 16, 2019 at 11:04:50 PM Eastern Daylight Time",4,-3.911630427877975e-09,-1.869298658571661e-09,-0.9999999880304817,0.16028402576689021,0.21863388286984878,0.13290273219414978,334.73805871431625,0.23825906258211174,0.1293227077982875,0.23683663569085117,0.14073767438538393
49,2,1,2,0.078432984650135,-0.0452849008142948,-0.995890319347382,90.3052978515625,-17.489425659179698,2.25731468200684,-42.4117431640625,-0.00177162582986057,0.039216585457324996,-0.0227353312075138,-0.9989705681800841,0.888424694538116,-0.0187357738614082,0.150514334440231,1560740691.00561,0.1096146479249,0.28576439619064303,-0.10931909084320098,"Sunday, June 16, 2019 at 11:04:51 PM Eastern Daylight Time",4,-1.2387037527345315e-08,9.753355709879452e-09,-0.9999999917463593,-0.10224125863128171,-0.29025553859867004,-0.1045264183781971,344.7075647052297,-0.1751748012199876,-0.25301253263672635,-0.18376188901987386,-0.22161929541283884
