Z_PK,Z_ENT,Z_OPT,ZACTIVITYCONFIDENCE,ZALTITUDE,ZCOURSE,ZHORIZONTALACCURACY,ZLATITUDE,ZLONGITUDE,ZSPEED,ZTIMESTAMPEPOCH,ZVERTICALACCURACY,ZACTIVITYTYPE,ZTIMESTAMPEST
8,3,1,1,252.479248046875,-1.0,900.793423484253,40.0564564790307,-83.0517395328743,-1.0,1560740662.96806,97.8629837036133,walking,"Sunday, June 16, 2019 at 11:04:22 PM Eastern Daylight Time"
9,3,1,1,267.794769287109,-1.0,65.0,40.0562605566319,-83.0516796683773,-1.0,1560740664.3924,18.9294281005859,walking,"Sunday, June 16, 2019 at 11:04:24 PM Eastern Daylight Time"
10,3,1,1,266.1036966067,-1.0,64.0,40.0562748866995,-83.0516724443342,0.94120180606842,1560740667.4851,56.3366737365723,walking,"Sunday, June 16, 2019 at 11:04:27 PM Eastern Daylight Time"
11,3,1,1,269.136171374291,-1.0,64.0,40.0563286814975,-83.0516214755126,0.645507037639618,1560740668.48823,63.5701026916504,walking,"Sunday, June 16, 2019 at 11:04:28 PM Eastern Daylight Time"
12,3,1,1,236.603510284424,-1.0,128.0,40.0563484449842,-83.0516020708545,0.645507037639618,1560740669.48733,3.0,walking,"Sunday, June 16, 2019 at 11:04:29 PM Eastern Daylight Time"
13,3,1,1,236.604773712158,-1.0,96.0,40.0563827872175,-83.0515630336029,0.533093929290771,1560740670.48888,3.0,walking,"Sunday, June 16, 2019 at 11:04:30 PM Eastern Daylight Time"
14,3,1,1,236.627872467041,-1.0,128.0,40.0563850488097,-83.0515544514395,0.533093929290771,1560740671.48776,3.0,walking,"Sunday, June 16, 2019 at 11:04:31 PM Eastern Daylight Time"
15,3,1,1,236.630220794678,-1.0,128.0,40.0563916570228,-83.0515492256872,0.200895100831985,1560740672.50583,3.0,walking,"Sunday, June 16, 2019 at 11:04:32 PM Eastern Daylight Time"
16,3,1,1,236.631456756592,-1.0,128.0,40.0563855622475,-83.0515559606477,0.183420494198799,1560740673.50946,3.0,walking,"Sunday, June 16, 2019 at 11:04:33 PM Eastern Daylight Time"
17,3,1,1,236.630948638916,-1.0,48.0,40.056344600705,-83.0515965430686,0.306954801082611,1560740674.52902,3.0,walking,"Sunday, June 16, 2019 at 11:04:34 PM Eastern Daylight Time"
18,3,1,1,236.599019622803,-1.0,48.0,40.0562923022952,-83.0518416785174,0.327742457389832,1560740675.51796,3.0,walking,"Sunday, June 16, 2019 at 11:04:35 PM Eastern Daylight Time"
19,3,1,2,237.202292633057,-1.0,48.0,40.0562893798205,-83.0518905717724,0.327742457389832,1560740676.51802,3.0,walking,"Sunday, June 16, 2019 at 11:04:36 PM Eastern Daylight Time"
20,3,1,2,237.360701751709,-1.0,96.0,40.05630191357,-83.051893893839,0.88131457567215,1560740677.51912,3.0,walking,"Sunday, June 16, 2019 at 11:04:37 PM Eastern Daylight Time"
21,3,1,2,237.371468353271,-1.0,48.0,40.0563478282693,-83.0518851129434,1.2109043598175,1560740678.53647,3.0,walking,"Sunday, June 16, 2019 at 11:04:38 PM Eastern Daylight Time"
22,3,1,2,257.746735839844,-1.0,96.0144992841705,40.0564666788203,-83.0518129709425,0.245459705591202,1560740679.51401,3.0,walking,"Sunday, June 16, 2019 at 11:04:39 PM Eastern Daylight Time"
23,3,1,2,259.417772415161,296.251696154406,96.0144992841705,40.05646321994,-83.0518551048961,0.15450344979763,1560740680.51497,3.0,walking,"Sunday, June 16, 2019 at 11:04:40 PM Eastern Daylight Time"
24,3,1,2,259.690770542908,294.690342230898,64.009666189447,40.0564547471302,-83.0518291990096,0.0861202701926231,1560740681.51127,3.0,walking,"Sunday, June 16, 2019 at 11:04:41 PM Eastern Daylight Time"
25,3,1,2,259.672655621796,101.793471578286,64.009666189447,40.0564311383883,-83.0518011855462,0.244688600301743,1560740682.51453,3.0,walking,"Sunday, June 16, 2019 at 11:04:42 PM Eastern Daylight Time"
26,3,1,2,259.638640455368,113.847553350064,32.0048330947235,40.0564259271686,-83.051794123184,0.0577548295259476,1560740683.51665,3.0,walking,"Sunday, June 16, 2019 at 11:04:43 PM Eastern Daylight Time"
27,3,1,2,259.623579698003,290.567831293175,32.0048330947235,40.0563660333318,-83.0517541642071,0.220041409134865,1560740684.51397,3.0,walking,"Sunday, June 16, 2019 at 11:04:44 PM Eastern Daylight Time"
