Z_PK,Z_ENT,Z_OPT,ZACTIVITYCONFIDENCE,ZALTITUDE,ZCOURSE,ZHORIZONTALACCURACY,ZLATITUDE,ZLONGITUDE,ZSPEED,ZTIMESTAMPEPOCH,ZVERTICALACCURACY,ZACTIVITYTYPE,ZTIMESTAMPEST
13084,3,1,2,1767.25748773024,-1.0,24.0036248210426,40.0580720595348,-83.034701510472,-1.0,1560136240.99907,75.5465545654297,Activity Unavailable,"Sunday, June 9, 2019 at 11:10:40 PM Eastern Daylight Time"
13085,3,1,2,1769.70262865291,-1.0,24.0036248210426,40.0580158958256,-83.0347111016952,-1.0,1560136241.99909,105.421669006348,Activity Unavailable,"Sunday, June 9, 2019 at 11:10:41 PM Eastern Daylight Time"
13086,3,1,2,1773.33502635782,176.768355644678,24.0036248210426,40.0579756978259,-83.034716857059,4.59027624130249,1560136242.9991,77.6093521118164,Activity Unavailable,"Sunday, June 9, 2019 at 11:10:42 PM Eastern Daylight Time"
13087,3,1,2,1773.21680601734,177.518747547653,32.0048330947235,40.0579409038279,-83.0347173978357,4.59027624130249,1560136243.99913,250.013671875,Activity Unavailable,"Sunday, June 9, 2019 at 11:10:43 PM Eastern Daylight Time"
13088,3,1,2,1773.44605159665,-1.0,24.0036248210426,40.0578871706701,-83.0347171289111,-1.0,1560136244.99913,148.266189575195,Activity Unavailable,"Sunday, June 9, 2019 at 11:10:44 PM Eastern Daylight Time"
13089,3,1,2,1774.22517442957,-1.0,24.0036248210426,40.0578418876747,-83.0347117573401,-1.0,1560136245.99915,105.561737060547,Activity Unavailable,"Sunday, June 9, 2019 at 11:10:45 PM Eastern Daylight Time"
13090,3,1,2,1775.42433791681,158.2923114492,24.0036248210426,40.0577897972608,-83.0346952484719,4.36689186096191,1560136246.99916,89.0089874267578,Activity Unavailable,"Sunday, June 9, 2019 at 11:10:46 PM Eastern Daylight Time"
13091,3,1,2,1775.09101631076,-1.0,24.0036248210426,40.0577351949911,-83.0346677363028,-1.0,1560136247.99917,211.835708618164,Activity Unavailable,"Sunday, June 9, 2019 at 11:10:47 PM Eastern Daylight Time"
13092,3,1,2,1775.11447079609,-1.0,16.0024165473618,40.0576790470452,-83.034621605214,-1.0,1560136248.99917,173.707214355469,Activity Unavailable,"Sunday, June 9, 2019 at 11:10:48 PM Eastern Daylight Time"
13093,3,1,2,1775.10007061748,-1.0,16.0024165473618,40.0576375380263,-83.0345706554553,-1.0,1560136249.99917,134.155502319336,Activity Unavailable,"Sunday, June 9, 2019 at 11:10:49 PM Eastern Daylight Time"
13094,3,1,2,1775.43367141512,-1.0,32.0048330947235,40.0576004099152,-83.0345181235291,-1.0,1560136250.99917,111.503356933594,Activity Unavailable,"Sunday, June 9, 2019 at 11:10:50 PM Eastern Daylight Time"
13095,3,1,2,1776.51436546896,31.599006176134,32.0048330947235,40.0575907814407,-83.0344474597189,6.11470031738281,1560136251.99918,93.5986938476562,Activity Unavailable,"Sunday, June 9, 2019 at 11:10:51 PM Eastern Daylight Time"
