Z_PK,Z_ENT,Z_OPT,ZMAGFIELDACCURACY,ZGRAVITYX,ZGRAVITYY,ZGRAVITYZ,ZHEADING,ZMAGFIELDX,ZMAGFIELDY,ZMAGFIELDZ,ZQUATW,ZQUATX,ZQUATY,ZQUATZ,ZROTATIONRATEX,ZROTATIONRATEY,ZROTATIONRATEZ,ZTIMESTAMPEPOCH,ZUSERACCELX,ZUSERACCELY,ZUSERACCELZ,ZTIMESTAMPEST
22,2,1,2,-0.0696782022714615,-0.201815471053123,-0.976941883563995,311.49560546875,19.7375946044922,8.81078147888184,-47.3900146484375,0.928457260131836,0.082248643040657,-0.0690232887864113,-0.355581194162369,-0.295707732439041,-0.0204191170632839,0.550002992153168,1560740663.91736,-0.107918798923492,0.0255613327026367,0.00430089235305786,"Sunday, June 16, 2019 at 11:04:23 PM Eastern Daylight Time"
23,2,1,2,-0.0291203018277884,-0.0528603196144104,-0.998177230358124,246.372650146484,19.9044227600098,-15.6316890716553,-36.6271057128906,0.978451311588287,0.0288609657436609,-0.00885587744414806,0.204258784651756,0.0799167826771736,0.252066940069199,2.07018160820007,1560740664.92059,-0.095193088054657,-0.0699272155761719,-0.0219033360481262,"Sunday, June 16, 2019 at 11:04:24 PM Eastern Daylight Time"
24,2,1,2,0.0400400385260582,-0.0903374031186104,-0.995105981826782,166.01969909668,-3.65219974517822,-12.7978534698486,-21.1879577636719,0.614326655864716,0.0120119731873274,0.0479865930974483,0.787499666213989,-0.38177353143692,0.445965170860291,1.02869725227356,1560740665.92383,0.0473470613360405,-0.106623090803623,0.0329172611236572,"Sunday, June 16, 2019 at 11:04:25 PM Eastern Daylight Time"
25,2,1,2,0.00814600754529238,-0.215988159179687,-0.976361989974976,164.607040405273,-1.32150840759277,-14.5380973815918,-18.5413208007812,0.602084696292877,0.0625390112400055,0.08892622590065,0.790996134281158,0.125229820609093,0.0167834982275963,0.0081192497164011,1560740666.92708,-0.0286843404173851,0.0202484130859375,0.00221037864685059,"Sunday, June 16, 2019 at 11:04:26 PM Eastern Daylight Time"
26,2,1,2,0.126414984464645,-0.0964865610003471,-0.987273812294006,159.921447753906,-1.78120422363281,-13.1010818481445,-21.9029235839844,0.568666994571686,-0.0244687329977751,0.0759234502911568,0.818690955638885,-0.410599410533905,0.395397663116455,-0.0969426408410072,1560740667.9303,0.0213205218315125,-0.0272163674235344,-0.0438083410263062,"Sunday, June 16, 2019 at 11:04:27 PM Eastern Daylight Time"
27,2,1,2,-0.0167243722826242,0.0565846674144268,-0.998257696628571,166.952651977539,-4.12263298034668,-7.05138206481934,-22.0037231445312,0.621734023094177,-0.0110550839453936,-0.0273665152490139,0.782672226428986,0.0242528710514307,-1.01221942901611,-0.970725119113922,1560740668.93357,-0.183837130665779,-0.0445608086884022,0.135724127292633,"Sunday, June 16, 2019 at 11:04:28 PM Eastern Daylight Time"
28,2,1,2,0.00241033337078989,-0.172442585229874,-0.985016644001007,185.377548217773,0.761575698852539,-22.9420299530029,-19.3289184570312,0.736652255058289,0.063180111348629,0.0591604746878147,0.67070996761322,0.0703816935420036,-0.974543869495392,-0.708064794540405,1560740669.9368,0.0177770406007767,-0.108593553304672,0.0958106517791748,"Sunday, June 16, 2019 at 11:04:29 PM Eastern Daylight Time"
29,2,1,2,0.0422129556536674,-0.286701142787933,-0.957089602947235,263.390686035156,27.7093811035156,-19.7445697784424,-20.8233337402344,0.987380087375641,0.143346190452576,0.0301175359636545,0.0602107159793377,0.136653870344162,-0.878666460514069,-2.13403701782227,1560740670.94006,0.0458759069442749,0.136647045612335,-0.0404080748558044,"Sunday, June 16, 2019 at 11:04:30 PM Eastern Daylight Time"
30,2,1,2,0.0536019802093506,-0.300064891576767,-0.952411592006683,323.991180419922,27.4135551452637,3.43288421630859,-27.9272766113281,0.882304728031158,0.147809311747551,-0.0441202521324158,-0.444684416055679,-0.0162799060344696,-0.393528014421463,-0.767632186412811,1560740671.94334,0.108339406549931,0.0510575473308563,-0.0155145525932312,"Sunday, June 16, 2019 at 11:04:31 PM Eastern Daylight Time"
31,2,1,2,0.0521076507866383,-0.294257760047913,-0.954304575920105,19.9402160644531,7.0153226852417,23.7019062042236,-25.7090454101562,0.570724010467529,0.10745333135128,-0.106308534741402,-0.807110011577606,0.037520494312048,0.0228490065783262,-0.724866807460785,1560740672.94659,-0.0411826521158218,-0.00371426343917847,-0.0032305121421814,"Sunday, June 16, 2019 at 11:04:32 PM Eastern Daylight Time"
32,2,1,2,-0.00614818744361401,-0.276890754699707,-0.96088171005249,70.9031448364258,-28.3872146606445,18.734468460083,-19.4531555175781,0.163808718323708,0.020069157704711,-0.13840651512146,-0.976528286933899,0.00426401104778051,-0.250239729881287,-0.619776666164398,1560740673.94986,0.00930679962038994,0.0397862792015076,-0.0340526103973389,"Sunday, June 16, 2019 at 11:04:33 PM Eastern Daylight Time"
33,2,1,2,0.19913911819458,0.00893639121204615,-0.979930460453033,75.0984191894531,-20.3575115203857,18.5326156616211,-17.7525024414062,0.128578647971153,0.0986534655094147,0.017385421320796,-0.986626923084259,0.00190848205238581,0.00180892227217555,-0.0501961149275303,1560740674.9531,0.0117520838975906,-0.024576673284173,0.0120348930358887,"Sunday, June 16, 2019 at 11:04:34 PM Eastern Daylight Time"
