Z_PK,Z_ENT,Z_OPT,ZMAGFIELDACCURACY,ZGRAVITYX,ZGRAVITYY,ZGRAVITYZ,ZHEADING,ZMAGFIELDX,ZMAGFIELDY,ZMAGFIELDZ,ZQUATW,ZQUATX,ZQUATY,ZQUATZ,ZROTATIONRATEX,ZROTATIONRATEY,ZROTATIONRATEZ,ZTIMESTAMPEPOCH,ZUSERACCELX,ZUSERACCELY,ZUSERACCELZ,ZTIMESTAMPEST
44763,2,1,2,-0.00999376364052296,-0.334971934556961,-0.942175090312958,52.2182464599609,-11.3470869064331,7.66263628005981,2.76284790039062,-0.318199425935745,-0.0500815808773041,0.162493959069252,0.932650327682495,-0.0538578368723392,-0.00164406700059772,0.0246644131839275,1560136194.36648,0.00146408379077911,0.00179585814476013,0.00539231300354004,"Sunday, June 9, 2019 at 11:09:54 PM Eastern Daylight Time"
44764,2,1,2,-0.0841345191001892,-0.344095408916473,-0.935157597064972,45.3570518493652,-10.7557821273804,11.3045091629028,0.98101806640625,-0.366333842277527,-0.0254489611834288,0.178251355886459,0.912895619869232,-0.0146794468164444,0.252983242273331,-0.0618827864527702,1560136195.36981,0.016019344329834,-0.0077873170375824,-0.0223925113677979,"Sunday, June 9, 2019 at 11:09:55 PM Eastern Daylight Time"
44765,2,1,2,-0.121826186776161,-0.446633249521255,-0.886384308338165,45.8271179199219,-11.1507368087769,9.78911685943604,1.79864501953125,-0.350613117218018,-0.0245228484272957,0.237079069018364,0.90568345785141,0.04566790163517,-0.0217298734933138,-0.00936729088425636,1560136196.37313,-0.00633224844932556,-0.00595718622207642,0.00537222623825073,"Sunday, June 9, 2019 at 11:09:56 PM Eastern Daylight Time"
44766,2,1,2,-0.120980754494667,-0.457097232341766,-0.881150245666504,46.3007354736328,-11.0612335205078,9.11301517486572,2.22198486328125,-0.34601628780365,-0.0258106663823128,0.242401912808418,0.906006515026093,-0.00292889168485999,-0.0370214842259884,0.0240671299397945,1560136197.37647,-0.0110227465629578,-0.0075775682926178,0.00885075330734253,"Sunday, June 9, 2019 at 11:09:57 PM Eastern Daylight Time"
44767,2,1,2,-0.110359400510788,-0.46983927488327,-0.875826418399811,45.8523941040039,-11.003830909729,8.74752426147461,2.43243408203125,-0.349847793579102,-0.0344972871243954,0.246772646903992,0.903061330318451,-0.000101145356893539,0.0126264747232199,0.00361685641109943,1560136198.37977,-0.0065070241689682,-0.00261595845222473,0.0115373730659485,"Sunday, June 9, 2019 at 11:09:58 PM Eastern Daylight Time"
44768,2,1,2,-0.0832971483469009,-0.484511882066727,-0.870809853076935,46.2761917114258,-11.4639225006104,8.64196586608887,2.29632568359375,-0.349044620990753,-0.0502368994057178,0.249141171574593,0.901982665061951,0.00599871855229139,0.0294599682092667,-0.0350494347512722,1560136199.38309,-0.00788873434066772,-0.00562721490859985,0.00470471382141113,"Sunday, June 9, 2019 at 11:09:59 PM Eastern Daylight Time"
44769,2,1,2,-0.0679630637168884,-0.477182060480118,-0.876172542572021,47.1798133850098,-11.3880414962769,8.3433198928833,2.02264404296875,-0.344670593738556,-0.0548745542764664,0.242698386311531,0.905145645141602,-0.0564501024782658,0.0586439929902554,0.0146662369370461,1560136200.38641,-0.00207408517599106,-0.00631839036941528,-0.0075262188911438,"Sunday, June 9, 2019 at 11:10:00 PM Eastern Daylight Time"
44770,2,1,2,-0.0613951236009598,-0.477721124887466,-0.876363635063171,47.0761909484863,-11.1885643005371,8.25696754455566,2.15737915039062,-0.346354603767395,-0.0585843846201897,0.241632074117661,0.904555380344391,-0.012775500304997,0.0554935559630394,-0.000395670300349593,1560136201.38976,-0.014333464205265,-0.00428259372711182,0.00470370054244995,"Sunday, June 9, 2019 at 11:10:01 PM Eastern Daylight Time"
44771,2,1,2,-0.058471754193306,-0.480395615100861,-0.875100612640381,46.9651374816895,-10.7935543060303,8.03898811340332,2.21017456054687,-0.347435653209686,-0.0608288981020451,0.242383033037186,0.903791308403015,-0.0141278505325317,0.032504603266716,0.00164143578149378,1560136202.3931,-0.0155477747321129,-0.00528466701507568,0.0082622766494751,"Sunday, June 9, 2019 at 11:10:02 PM Eastern Daylight Time"
44772,2,1,2,-0.0404684655368328,-0.461653113365173,-0.886136949062347,47.5719795227051,-10.9837102890015,7.79775905609131,2.1373291015625,-0.346336424350739,-0.0653037801384926,0.229492768645287,0.907259464263916,-0.00349382380954921,-0.00261695776134729,0.0071029094979167,1560136203.39645,-0.00971714407205582,-0.00429815053939819,0.00582534074783325,"Sunday, June 9, 2019 at 11:10:03 PM Eastern Daylight Time"
44773,2,1,2,-0.0413975343108177,-0.447604656219482,-0.893272817134857,47.5189170837402,-11.0231456756592,7.92891836166382,2.0377197265625,-0.347512483596802,-0.0622874684631824,0.222449690103531,0.908774733543396,0.0168990585952997,-0.00790313165634871,-1.86373945325613e-05,1560136204.39975,-0.0155629515647888,-0.00809288024902344,0.00467574596405029,"Sunday, June 9, 2019 at 11:10:04 PM Eastern Daylight Time"
44774,2,1,2,-0.0468087866902351,-0.438781589269638,-0.897373735904694,47.6182975769043,-10.7878618240356,8.08546161651611,1.95599365234375,-0.346597701311111,-0.0576970912516117,0.219052895903587,0.910251021385193,-0.0242043361067772,-0.0216962695121765,-0.00875650346279144,1560136205.40308,-0.0139357373118401,-0.00399124622344971,0.0181760191917419,"Sunday, June 9, 2019 at 11:10:05 PM Eastern Daylight Time"
